2005-03-19T17:34:46.000Z,-21.91,-179.45,599,6.3,mw,Fiji region
2005-03-20T01:53:42.000Z,33.8,130.26,8.5,6.6,mw,Kyushu Japan
2005-03-21T12:23:53.000Z,-24.93,-63.43,576.8,6.8,mw,Salta Argentina
2005-03-21T12:43:12.000Z,-24.69,-63.48,569.4,6.4,mw,Salta Argentina
2005-03-26T15:40:36.000Z,-4.97,129.9,23.7,6.2,mw,Banda Sea
2005-03-28T16:09:37.000Z,2.05,97.06,33.7,8.6,mw,northern Sumatra Indonesia
2005-03-28T18:30:44.560Z,0.923,97.867,36.1,6.1,mb,Nias region Indonesia
2005-03-30T16:19:41.000Z,2.95,95.41,27.5,6.2,mw,Simeulue Indonesia
2005-03-30T17:41:56.000Z,-22.45,-179.67,584.5,6.1,mw,south of the Fiji Islands
2005-03-31T01:46:17.000Z,-18.44,176.09,10.7,6,mw,Fiji region
2005-04-02T12:52:35.000Z,78.61,6.12,3.9,6.1,mw,Svalbard region
2005-04-03T00:59:21.000Z,0.37,98.3,30,6,mw,Nias region Indonesia
2005-04-03T03:10:56.000Z,1.97,97.89,36,6.2,mw,Nias region Indonesia
2005-04-07T20:04:40.000Z,30.44,83.61,7.9,6.3,mw,western Xizang
2005-04-08T05:48:38.000Z,-0.25,97.7,21,6.1,mw,Kepulauan Batu Indonesia
2005-04-10T10:29:11.000Z,-1.68,99.55,19,6.7,mw,Kepulauan Mentawai region Indonesia
2005-04-10T11:14:20.000Z,-1.74,99.69,34.6,6.5,mw,Kepulauan Mentawai region Indonesia
2005-04-10T17:24:39.000Z,-1.61,99.68,34.6,6.1,mw,Kepulauan Mentawai region Indonesia
2005-04-11T06:11:11.000Z,2.13,96.71,24,6,mw,Simeulue Indonesia
2005-04-11T12:20:05.000Z,-3.46,145.99,10.6,6.6,mw,near the north coast of New Guinea Papua New Guinea
2005-04-11T14:54:06.000Z,-7.35,-77.9,125.7,6,mw,northern Peru
2005-04-11T17:08:55.000Z,-22.01,170.63,84.5,6.7,mw,southeast of the Loyalty Islands
2005-04-16T16:38:04.000Z,1.84,97.62,31,6.3,mw,Nias region Indonesia
2005-04-28T14:07:33.000Z,2.11,96.76,22,6.2,mw,Simeulue Indonesia
2005-05-05T19:12:24.000Z,5.93,-82.73,24,6.5,mw,south of Panama
2005-05-10T01:09:05.000Z,-6.22,103.11,17,6.3,mw,southwest of Sumatra Indonesia
2005-05-12T11:15:35.000Z,-57.32,-139.16,8.2,6.5,mw,Pacific-Antarctic Ridge
2005-05-14T05:05:18.000Z,0.51,98.36,34,6.7,mw,Nias region Indonesia
2005-05-16T03:54:17.000Z,-32.86,-179.19,63.6,6.5,mw,south of the Kermadec Islands
2005-05-18T09:10:53.000Z,-56.39,-26.89,106,6,mw,South Sandwich Islands region
2005-05-18T10:27:05.000Z,-15.34,-173.17,4.3,6.2,mw,Tonga
2005-05-18T11:37:34.000Z,5.58,93.31,43.5,6.1,mw,off the west coast of northern Sumatra
2005-05-18T11:37:41.740Z,5.439,93.357,2.5,6.1,mwb,off the west coast of northern Sumatra
2005-05-19T01:54:54.000Z,1.97,96.99,41,6.8,mw,Nias region Indonesia
2005-05-21T05:11:35.000Z,-3.27,-80.96,40.7,6.3,mw,Peru-Ecuador border region
2005-06-02T10:56:00.000Z,-24.23,-67.01,189,6,mw,Salta Argentina
2005-06-04T14:50:48.000Z,-6.34,146.83,38.1,6.1,mw,eastern New Guinea region Papua New Guinea
2005-06-08T06:28:10.000Z,2.16,96.69,22,6,mw,Simeulue Indonesia
2005-06-12T19:26:25.000Z,-56.32,-27.1,98.7,6,mw,South Sandwich Islands region
2005-06-13T22:44:32.000Z,-20,-69.19,105.5,7.8,mw,Tarapaca Chile
2005-06-14T17:10:12.000Z,51.21,179.38,17,6.8,mw,Rat Islands Aleutian Islands Alaska
2005-06-15T02:50:53.000Z,41.2,-125.98,9.9,7.2,mw,off the coast of Northern California
2005-06-15T10:13:56.000Z,-4.58,153.22,54.1,6.2,mw,New Ireland region Papua New Guinea
2005-06-15T19:52:25.000Z,-44.89,-80.55,17,6.5,mw,off the coast of Aisen Chile
2005-06-17T06:21:42.000Z,40.67,-126.61,13.2,6.6,mw,off the coast of Northern California
2005-06-27T11:35:45.000Z,18.84,-107.32,16,6.2,mw,off the coast of Jalisco Mexico
2005-07-02T02:16:43.000Z,11.27,-86.24,27,6.6,mw,near the coast of Nicaragua
2005-07-04T11:36:06.000Z,-42.3,42.43,11.7,6.2,mw,Prince Edward Islands region
2005-07-05T01:52:02.000Z,1.78,97.05,21,6.6,mw,Nias region Indonesia
2005-07-10T04:46:31.000Z,-36.29,-97.28,10,6,mw,West Chile Rise
2005-07-23T08:51:46.000Z,-30.27,-177.87,30.2,6,mw,Kermadec Islands New Zealand
2005-07-24T15:42:06.000Z,7.89,92.18,16,7.2,mw,Nicobar Islands India region
2005-07-30T11:03:49.000Z,-61.33,154.37,10.6,6,mw,Balleny Islands region
2005-08-03T11:03:14.000Z,11.27,-85.53,11.4,6.2,mw,Nicaragua
2005-08-06T09:56:13.000Z,-19.61,-175.79,202.4,6,mw,Tonga
